method,size,threshold,timeMs
,,,
,,,
sequential,256,20,38
sequential,256,20,37
sequential,256,20,38
parallel,256,20,100
parallel,256,20,88
parallel,256,20,81
distributed,256,20,47
distributed,256,20,50
distributed,256,20,46
,,,
sequential,512,20,87
sequential,512,20,69
sequential,512,20,71
parallel,512,20,188
parallel,512,20,232
parallel,512,20,215
distributed,512,20,94
distributed,512,20,140
distributed,512,20,98
,,,
sequential,1024,20,189
sequential,1024,20,203
sequential,1024,20,179
parallel,1024,20,364
parallel,1024,20,315
parallel,1024,20,334
distributed,1024,20,216
distributed,1024,20,244
distributed,1024,20,236
,,,
sequential,6000,20,2825
sequential,6000,20,2890
sequential,6000,20,2949
parallel,6000,20,2381
parallel,6000,20,2333
parallel,6000,20,2297
distributed,6000,20,1336
distributed,6000,20,981
distributed,6000,20,1011
,,,
,,,
,,,
sequential,1024,10,192
sequential,1024,10,236
sequential,1024,10,195
parallel,1024,10,329
parallel,1024,10,340
parallel,1024,10,310
distributed,1024,10,212
distributed,1024,10,226
distributed,1024,10,207
,,,
sequential,1024,20,189
sequential,1024,20,203
sequential,1024,20,179
parallel,1024,20,364
parallel,1024,20,315
parallel,1024,20,334
distributed,1024,20,216
distributed,1024,20,244
distributed,1024,20,236
,,,
sequential,1024,30,190
sequential,1024,30,191
sequential,1024,30,176
parallel,1024,30,324
parallel,1024,30,366
parallel,1024,30,318
distributed,1024,30,217
distributed,1024,30,204
distributed,1024,30,232
